Features,F1,Recall,Precision,Seed,model,Execution
['Classiques'],0.7836383207750269,0.9176470588235294,0.6837820914214151,4805,bert,9.0
['Spectral'],0.7774502579218865,0.8865546218487395,0.6922572178477691,4805,bert,9.0
['Topology'],0.8625,0.8697478991596639,0.8553719008264463,4805,bert,9.0
"['Classiques', 'Spectral']",0.8857029072082836,0.934453781512605,0.8417865253595761,4805,bert,9.0
"['Classiques', 'Topology']",0.9100704517198508,0.9226890756302522,0.8977923139820114,4805,bert,9.0
"['Spectral', 'Topology']",0.8985024958402662,0.907563025210084,0.8896210873146623,4805,bert,9.0
"['Classiques', 'Spectral', 'Topology']",0.9156626506024096,0.9260504201680673,0.905505341002465,4805,bert,9.0
['Classiques'],0.8084291187739464,0.9094827586206896,0.7275862068965517,105,bert,10.0
['Spectral'],0.7646627565982405,0.8991379310344828,0.6651785714285714,105,bert,10.0
['Topology'],0.8518204911092294,0.8672413793103448,0.8369384359400999,105,bert,10.0
"['Classiques', 'Spectral']",0.8989775051124744,0.9474137931034483,0.8552529182879377,105,bert,10.0
"['Classiques', 'Topology']",0.9061571125265393,0.9198275862068965,0.8928870292887029,105,bert,10.0
"['Spectral', 'Topology']",0.887263339070568,0.8887931034482759,0.8857388316151202,105,bert,10.0
"['Classiques', 'Spectral', 'Topology']",0.926829268292683,0.9336206896551724,0.9201359388275276,105,bert,10.0
