embedding_model,classifier,seed,run,precision,recall,f1,nb_0,nb_1,elapsed_train,elapsed_test
bert-base-uncased,RandomForest,3025,3,1.0,0.9601990049751243,0.9796954314720813,22197,1005,20.574,0.128
bert-base-uncased,CatBoost,3025,3,0.9879154078549849,0.9761194029850746,0.9819819819819819,22197,1005,9.407,0.018
bert-base-uncased,XGBoost,3025,3,0.9918616480162767,0.9701492537313433,0.9808853118712274,22197,1005,0.542,0.008
bert-base-uncased,DecisionTree,3025,3,0.9702564102564103,0.9412935323383085,0.9555555555555556,22197,1005,2.942,0.004
bert-base-uncased,LogisticRegression,3025,3,0.06979366332168227,0.6159203980099502,0.1253797852947134,22197,1005,9.051,0.002
bert-base-uncased,KNN,3025,3,0.9799054373522459,0.8248756218905473,0.8957320367368989,22197,1005,0.014,1.314
bert-base-uncased,MLP,3025,3,0.9769539078156313,0.9701492537313433,0.9735396904643036,22197,1005,19.607,0.013
bert-base-uncased,SVM,3025,3,0.5906610066707095,0.9691542288557214,0.7339864355689525,22197,1005,1130.949,26.41
bert-base-uncased,RandomForest,6642,4,1.0,0.9864341085271318,0.9931707317073171,22618,1032,20.436,0.125
bert-base-uncased,CatBoost,6642,4,0.9922779922779923,0.9961240310077519,0.9941972920696325,22618,1032,9.532,0.017
bert-base-uncased,XGBoost,6642,4,0.9932038834951457,0.9912790697674418,0.9922405431619786,22618,1032,0.548,0.009
bert-base-uncased,DecisionTree,6642,4,0.9803729146221786,0.9680232558139535,0.9741589468551926,22618,1032,3.089,0.004
bert-base-uncased,LogisticRegression,6642,4,0.07391543108182318,0.6521317829457365,0.1327809016474302,22618,1032,8.844,0.002
bert-base-uncased,KNN,6642,4,0.9758897818599311,0.8236434108527132,0.8933263268523384,22618,1032,0.013,1.28
bert-base-uncased,MLP,6642,4,0.9979736575481256,0.9544573643410853,0.9757305596830114,22618,1032,28.629,0.013
bert-base-uncased,SVM,6642,4,0.5402237613212574,0.9825581395348837,0.6971467858370574,22618,1032,1112.29,26.566
bert-base-uncased,RandomForest,7630,5,1.0,0.987487969201155,0.9937046004842615,23300,1039,19.673,0.128
bert-base-uncased,CatBoost,7630,5,0.988527724665392,0.9951876804619827,0.9918465227817745,23300,1039,9.3,0.017
bert-base-uncased,XGBoost,7630,5,0.996142719382835,0.9942252165543792,0.9951830443159922,23300,1039,0.511,0.009
bert-base-uncased,DecisionTree,7630,5,0.9816955684007708,0.9807507218479307,0.9812229176697159,23300,1039,2.963,0.004
bert-base-uncased,LogisticRegression,7630,5,0.07030752916224814,0.6381135707410972,0.12665966185882127,23300,1039,8.776,0.002
bert-base-uncased,KNN,7630,5,0.9808102345415778,0.8854667949951877,0.9307030854830551,23300,1039,0.014,1.233
bert-base-uncased,MLP,7630,5,0.9951267056530214,0.9826756496631376,0.988861985472155,23300,1039,23.049,0.013
bert-base-uncased,SVM,7630,5,0.6014109347442681,0.9846005774783445,0.7467153284671533,23300,1039,1094.836,26.354
bert-base-uncased,RandomForest,6635,6,1.0,0.9822380106571936,0.9910394265232975,25164,1126,20.019,0.135
bert-base-uncased,CatBoost,6635,6,0.998212689901698,0.9920071047957372,0.9951002227171493,25164,1126,8.756,0.017
bert-base-uncased,XGBoost,6635,6,0.9946571682991986,0.9920071047957372,0.9933303690529124,25164,1126,0.529,0.009
bert-base-uncased,DecisionTree,6635,6,0.9882988298829883,0.9751332149200711,0.981671881984801,25164,1126,2.911,0.004
bert-base-uncased,LogisticRegression,6635,6,0.06678791552995857,0.5870337477797514,0.11993105325229067,25164,1126,8.477,0.002
